City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,pakxan,92,LA,1536089176,99,18.39,103.66,71.74,0.94
372,tazovskiy,44,RU,1536088648,72,67.47,78.7,54.91,22.97
373,palm beach,20,AU,1536087600,87,-33.6,151.32,50.0,5.82
374,valle del guamuez,92,CO,1536089177,99,0.45,-76.92,68.95,2.84
375,derventa,40,BA,1536087600,82,44.98,17.91,66.2,5.82
376,ntcheu,36,MW,1536089177,52,-14.82,34.64,71.74,4.63
377,sann,0,PK,1536084000,66,26.04,68.14,86.0,11.41
378,guadalupe y calvo,56,MX,1536089177,63,26.09,-106.96,71.83,2.17
379,yining,0,CN,1536089178,87,29.04,114.56,67.51,2.17
380,viransehir,0,TR,1536089178,32,37.24,39.76,78.58,5.97
381,bathsheba,20,BB,1536087600,66,13.22,-59.52,86.0,14.99
